,Raw Tweet,Text Extraction,Hashtag Extraction,Reference Extraction,URL Extraction,Tweet Location,Tweet Time
86,"what a time to be an entrepreneur in Africa #TEEP @TonyOElumelu with @ProfOsinbajo VP of NGR, prime minister of Benin, Rep of @BarackObama",what a time to be an entrepreneur in africa teep  with  vp of ngr prime minister of benin rep of ,[#TEEP],"[@TonyOElumelu, @ProfOsinbajo, @BarackObama]",[],All Around The World,Sat Jul 11 10:53:04 +0000 2015
87,@MHittie @ChrisNguyenTV comment @BarackObama ?? #KateSteinle #SanctuaryCity where is your La Raza flag Mr. #LuisGutierrez?? #SanctuaryCity,  comment   katesteinle sanctuarycity where is your la raza flag mr luisgutierrez sanctuarycity,"[#KateSteinle, #SanctuaryCity, #LuisGutierrez, #SanctuaryCity]","[@MHittie, @ChrisNguyenTV, @BarackObama]",[],,Sat Jul 11 10:53:02 +0000 2015
88,"RT @KYuvakuran: @kadricemilyigit  @Dr_MustafaCeric: Ergo, Bosnia needs full membership of NATO as soon as possible... @BarackObama @PutinRF",     ergo bosnia needs full membership of nato as soon as possible  ,[],"[@KYuvakuran, @kadricemilyigit, @Dr_MustafaCeric, @BarackObama, @PutinRF]",[],India,Sat Jul 11 10:52:45 +0000 2015
89,"RT @mikesmith8026: @BarackObama THATS ALL YOU GOT TO SAY UNINSUREDRATE , OBAMACARE? OUR COUNTRY GOING DOWN TO HELL ALL YOU GOT TO SAY UNINS",   thats all you got to say uninsuredrate  obamacare our country going down to hell all you got to say unins,[],"[@mikesmith8026, @BarackObama]",[],,Sat Jul 11 10:52:34 +0000 2015
90,.@BarackObama this a.m. elaborates on new HUD rules that mean kids from all backgrounds 'can write their own story' https://t.co/BQa995hMCm, this am elaborates on new hud rules that mean kids from all backgrounds can write their own story ,[],[@BarackObama],[https://t.co/BQa995hMCm],"Kaduna, Nigeria",Sat Jul 11 10:52:34 +0000 2015
91,JOE ADAMA: President @UKenyatta's Long Road To Co-hosting GES 2015 With @BarackObama http://t.co/LDpEvIx3uR http://t.co/yEG0rxWYiL,joe adama president s long road to cohosting ges 2015 with   ,[],"[@UKenyatta, @BarackObama]","[http://t.co/LDpEvIx3uR, http://t.co/yEG0rxWYiL]","Junction City, Kansas",Sat Jul 11 10:52:32 +0000 2015
92,"@CapitalOfficial @BBCNewsUS @BarackObama @on Well that's it,I'm done ~#CHANNELING #Lucifer.In fact fuck being a ~#LibraryCard 4 _A_ bit man!",    well thats itim done channeling luciferin fact fuck being a librarycard 4 a bit man,"[#CHANNELING, #Lucifer, #LibraryCard]","[@CapitalOfficial, @BBCNewsUS, @BarackObama, @on]",[],,Sat Jul 11 10:52:30 +0000 2015
93,"RT @JudgeDan48: Well, this is awkward 
cc @BarackObama @JohnKerry @marieharf 
@Kredo0 @ArminRosen @JeffreyGoldberg @cerenomri http://t.co/H","  well this is awkward 
cc    
    ",[],"[@JudgeDan48, @BarackObama, @JohnKerry, @marieharf, @Kredo0, @ArminRosen, @JeffreyGoldberg, @cerenomri]",[http://t.co/H],,Sat Jul 11 10:52:24 +0000 2015
94,"@kadricemilyigit  @Dr_MustafaCeric: Ergo, Bosnia needs full membership of NATO as soon as possible... @BarackObama @PutinRF_Eng @MirnesKovac",   ergo bosnia needs full membership of nato as soon as possible   ,[],"[@kadricemilyigit, @Dr_MustafaCeric, @BarackObama, @PutinRF_Eng, @MirnesKovac]",[],東京都,Sat Jul 11 10:51:59 +0000 2015
95,RT @FloPimpMyDog: Hey my friend @BarackObama do the 11th of July the next independance day cuz @Clemzouille_ was born. Thanks and see you a,  hey my friend  do the 11th of july the next independance day cuz  was born thanks and see you a,[],"[@FloPimpMyDog, @BarackObama, @Clemzouille_]",[],AFRICA,Sat Jul 11 10:51:52 +0000 2015
96,"@BarackObama @MichelleObama it would be a pleasure if you see this..

#dontgotoseaworld http://t.co/9n9gOuGl1A","  it would be a pleasure if you see this

dontgotoseaworld ",[#dontgotoseaworld],"[@BarackObama, @MichelleObama]",[http://t.co/9n9gOuGl1A],PuertoRico,Sat Jul 11 10:51:44 +0000 2015
97,Video: Rep. Chaffetz calls on President Obama to fire OPM chief @BarackObama #PresidentObama | http://t.co/LS20wIVjSz,video rep chaffetz calls on president obama to fire opm chief  presidentobama  ,[#PresidentObama],[@BarackObama],[http://t.co/LS20wIVjSz],,Sat Jul 11 10:51:36 +0000 2015
98,"@BarackObama  Most homeless since WW2? Earthwide under Bush, Secretary Clinton &amp; Obama! War  http://t.co/3vlqzBGsyE http://t.co/b1D8NnJL02",  most homeless since ww2 earthwide under bush secretary clinton and obama war   ,[],[@BarackObama],"[http://t.co/3vlqzBGsyE, http://t.co/b1D8NnJL02]",NEW DELHI ,Sat Jul 11 10:51:30 +0000 2015
99,"@BarackObama #ableton #ableton9 Need royalty free audio 1934 new music,you deserve best https://t.co/ughV5i1yrK  http://t.co/RwAxCJr08Z", ableton ableton9 need royalty free audio 1934 new musicyou deserve best   ,"[#ableton, #ableton9]",[@BarackObama],"[https://t.co/ughV5i1yrK, http://t.co/RwAxCJr08Z]",PortHarcourt,Sat Jul 11 10:50:37 +0000 2015
100,https://t.co/xvDoLvqzb7 can u relate....really can u @oohwee_msm  @BunBTrillOG  @BarackObama  @Oprah  @omarepps  @BillGates @KevinHart4real, can u relatereally can u            ,[],"[@oohwee_msm, @BunBTrillOG, @BarackObama, @Oprah, @omarepps, @BillGates, @KevinHart4real]",[https://t.co/xvDoLvqzb7],"lagos, nigeria",Sat Jul 11 10:50:26 +0000 2015
101,"@BarackObama Download Free Election Stickers Now
Android:http://t.co/w3VhSxY7ux
 iPhone :http://t.co/ODj1jKaZzl http://t.co/ZHVH8QIps8"," download free election stickers now
android
 iphone  ",[],[@BarackObama],"[http://t.co/w3VhSxY7ux, http://t.co/ODj1jKaZzl, http://t.co/ZHVH8QIps8]",Melbournabad,Sat Jul 11 10:50:22 +0000 2015
102,Do you keep cities in nevada so bright and full of light pollution to keep us from seeing what in the sky from Area 51? @CIA @BarackObama,do you keep cities in nevada so bright and full of light pollution to keep us from seeing what in the sky from area 51  ,[],"[@CIA, @BarackObama]",[],,Sat Jul 11 10:50:12 +0000 2015
103,RT @Clouseau700: @Theblacksphere @BarackObama is this what you and Michelle wanted?@Theblacksphere: Think hatred of America by black #racis,    is this what you and michelle wanted think hatred of america by black racis,[#racis],"[@Clouseau700, @Theblacksphere, @BarackObama, @Theblacksphere]",[],,Sat Jul 11 10:49:33 +0000 2015
104,RT@BarackObama:omgpdtObamaFllWActionCrackWhFRKnowisKnowKnowT,omgpdtobamafllwactioncrackwhfrknowisknowknowt,[],[@BarackObama],[],"Plainfield, IL",Sat Jul 11 10:49:25 +0000 2015
105,"@pjamesjp1 @ancerrone @BarackObama actually, she looks tan or beige. No such thing as a white person.",   actually she looks tan or beige no such thing as a white person,[],"[@pjamesjp1, @ancerrone, @BarackObama]",[],,Sat Jul 11 10:49:25 +0000 2015
106,@ATrimaine @BarackObama @billclinton @HillaryClinton @msnbc Hhhmmm! Bill  http://t.co/VkAwU63H5H  Hillary   http://t.co/ji60Df8yGD,     hhhmmm bill    hillary   ,[],"[@ATrimaine, @BarackObama, @billclinton, @HillaryClinton, @msnbc]","[http://t.co/VkAwU63H5H, http://t.co/ji60Df8yGD]",,Sat Jul 11 10:48:48 +0000 2015
107,"@serokepyd @BarackObama @fhollande
@GreensEP @SenJohnMcCain 

'The kids of Kobani are back in town'
@AAhronheimhttp://t.co/958UG5CuI3","  
  

the kids of kobani are back in town
",[],"[@serokepyd, @BarackObama, @fhollande, @GreensEP, @SenJohnMcCain, @AAhronheimhttp]",[t.co/958UG5CuI3],"DC, NYC, SF, Santa Monica",Sat Jul 11 10:48:47 +0000 2015
108,"Video: Pres. @BarackObama's weeklly address, on makin it easier for communities to implement the Fair Housing Act http://t.co/hYo4AtOqYf",video pres s weeklly address on makin it easier for communities to implement the fair housing act ,[],[@BarackObama],[http://t.co/hYo4AtOqYf],,Sat Jul 11 10:48:45 +0000 2015
109,"Two of my favorite guys! 

@POTUS @VP @BarackObama @JoeBiden http://t.co/EzKcMBASbv","two of my favorite guys 

    ",[],"[@POTUS, @VP, @BarackObama, @JoeBiden]",[http://t.co/EzKcMBASbv],Kenya ,Sat Jul 11 10:48:36 +0000 2015
110,"@CapitalOfficial @BBCNewsUS @BarackObama @on ""Jesus Christ Committed~#SUICIDE Via~#CRUCIFIXION 2 Teach The Women Of #MotherEarth.!""#WeirdMan",    jesus christ committedsuicide viacrucifixion 2 teach the women of motherearthweirdman,"[#SUICIDE, #CRUCIFIXION, #MotherEarth, #WeirdMan]","[@CapitalOfficial, @BBCNewsUS, @BarackObama, @on]",[],Charlotte,Sat Jul 11 10:48:33 +0000 2015
111,RT @maheemaravind: @BarackObama you should watch #Baahubali when you can,   you should watch baahubali when you can,[#Baahubali],"[@maheemaravind, @BarackObama]",[],Rhodhiss,Sat Jul 11 10:48:28 +0000 2015
112,@BarackObama you should watch #Baahubali when you can, you should watch baahubali when you can,[#Baahubali],[@BarackObama],[],Mulberry,Sat Jul 11 10:48:24 +0000 2015
113,"@Newser: Obama to Visit Prison, First Time for a President http://t.co/dcIYw9ZsOV http://t.co/FEQ1u3N8iQ@BarackObama  fix em Brutal system", obama to visit prison first time for a president  httptcofeq1u3n8iq  fix em brutal system,[],"[@Newser, @BarackObama]","[http://t.co/dcIYw9ZsOV, http://t.co/FEQ1u3N8iQ@BarackObama]",,Sat Jul 11 10:48:21 +0000 2015
114,Is Jon Snow dead ?? @BarackObama,is jon snow dead  ,[],[@BarackObama],[],Nyc,Sat Jul 11 10:48:20 +0000 2015
115,@BarackObama leading #disability school is facing closure after 94 years! Please RT #autism #deaf #savepennuk http://t.co/113TwlGRi2, leading disability school is facing closure after 94 years please rt autism deaf savepennuk ,"[#disability, #autism, #deaf, #savepennuk]",[@BarackObama],[http://t.co/113TwlGRi2],Kosse,Sat Jul 11 10:48:20 +0000 2015
116,@BarackObama Trigger happy cops in the U.S learn something  https://t.co/lGXSqVZASI, trigger happy cops in the us learn something  ,[],[@BarackObama],[https://t.co/lGXSqVZASI],,Sat Jul 11 10:48:14 +0000 2015
117,RT @thedailybeast: .@GameOfThrones superfan @BarackObama is very upset about Jon Snow's death: http://t.co/l8EvmckOVC http://t.co/PkG7snRRKt,   superfan  is very upset about jon snows death  ,[],"[@thedailybeast, @GameOfThrones, @BarackObama]","[http://t.co/l8EvmckOVC, http://t.co/PkG7snRRKt]",Roseville,Sat Jul 11 10:48:13 +0000 2015
118,"@CapitalOfficial @BBCNewsUS @BarackObama @on That was obviously a poor joke:^A-~ certain ~#LUCIFER is whisperin' in My ~#EAR.She Says,.....",    that was obviously a poor jokea certain lucifer is whisperin in my earshe says,"[#LUCIFER, #EAR]","[@CapitalOfficial, @BBCNewsUS, @BarackObama, @on]",[],Suntrust Bank,Sat Jul 11 10:48:13 +0000 2015
119,The Question is how can you create homegrown ideas that will transform Africa-@USEmbassyAbuja Rep cc @BarackObama #TEEP,the question is how can you create homegrown ideas that will transform africa rep cc  teep,[#TEEP],"[@USEmbassyAbuja, @BarackObama]",[],Lisle,Sat Jul 11 10:48:13 +0000 2015
120,"@POTUS @BarackObama The 'nightmare' continues for #SaeedAbedini &amp; family.
Your promise #SaveSaeed #IranTalksVienna  https://t.co/JMXVp0i8jK","  the nightmare continues for saeedabedini and family
your promise savesaeed irantalksvienna  ","[#SaeedAbedini, #SaveSaeed, #IranTalksVienna]","[@POTUS, @BarackObama]",[https://t.co/JMXVp0i8jK],Cascade,Sat Jul 11 10:48:12 +0000 2015
121,"Like fanpage  http://t.co/BAgdpLV9xF

@BarackObama @KimKardashian @taylorswift13 @YouTube @NICKIMINAJ @selenagomez @Oprah","like fanpage  

      ",[],"[@BarackObama, @KimKardashian, @taylorswift13, @YouTube, @NICKIMINAJ, @selenagomez, @Oprah]",[http://t.co/BAgdpLV9xF],Watauga,Sat Jul 11 10:48:10 +0000 2015
122,"RT @NRO: Dear @BarackObama...
http://t.co/6lMmkqfH86 http://t.co/jTMrb3Tuc4","  dear 
 ",[],"[@NRO, @BarackObama]","[http://t.co/6lMmkqfH86, http://t.co/jTMrb3Tuc4]",Okc,Sat Jul 11 10:48:09 +0000 2015
123,"@BarackObama These 250,000 civilians killed by #Assad while you prevent free army from effective weapons to fight back? U r the killer!!", these 250000 civilians killed by assad while you prevent free army from effective weapons to fight back u r the killer,[#Assad],[@BarackObama],[],Heflin,Sat Jul 11 10:48:07 +0000 2015
124,Now President of United States is speaking @BarackObama at the #TEEP @TonyElumeluFDN.,now president of united states is speaking  at the teep ,[#TEEP],"[@BarackObama, @TonyElumeluFDN]",[],Rosemead,Sat Jul 11 10:48:05 +0000 2015
125,RT @Chris_1791: The End of a Mistake for the US @barackobama @vj44  http://t.co/QTIjP8hUvc,  the end of a mistake for the us    ,[],"[@Chris_1791, @barackobama, @vj44]",[http://t.co/QTIjP8hUvc],,Sat Jul 11 10:48:02 +0000 2015
126,THIS is what @BarackObama &amp; @JohnKerry are so hot to negotiate with.  #failure #IStandWithIsrael #tcot #GOP  https://t.co/p5GUehUuxr,this is what  and  are so hot to negotiate with  failure istandwithisrael tcot gop  ,"[#failure, #IStandWithIsrael, #tcot, #GOP]","[@BarackObama, @JohnKerry]",[https://t.co/p5GUehUuxr],Newark,Sat Jul 11 10:48:02 +0000 2015
127,"RT @UASignGirl: Hey @BarackObama,
Since we're getting rid of everything that offends people: can we get rid of you, flag stompers, &amp; Auburn","  hey 
since were getting rid of everything that offends people can we get rid of you flag stompers and auburn",[],"[@UASignGirl, @BarackObama]",[],Flagstaff,Sat Jul 11 10:48:01 +0000 2015
128,"RT @KristinDSantos: #GameofThrones director David Nutter told @BarackObama ""Jon Snow is really dead."" Why wasn't there a White House statem",  gameofthrones director david nutter told  jon snow is really dead why wasnt there a white house statem,[#GameofThrones],"[@KristinDSantos, @BarackObama]",[],Sebring,Sat Jul 11 10:47:59 +0000 2015
129,@JohnKerry @margbrennan @FedericaMog @JZarif let me tell you your games with @BarackObama and @David_Cameron is criminal .,    let me tell you your games with  and  is criminal ,[],"[@JohnKerry, @margbrennan, @FedericaMog, @JZarif, @BarackObama, @David_Cameron]",[],Henderson,Sat Jul 11 10:47:58 +0000 2015
130,"Y oxidente considera israhell ""democracia""!
@_Saxra_ @Manu_Abu_Carlos @boye_g 
@Europarl_ES @BarackObama @netanyahu http://t.co/bRj76JbHW9","y oxidente considera israhell democracia
   
   ",[],"[@_Saxra_, @Manu_Abu_Carlos, @boye_g, @Europarl_ES, @BarackObama, @netanyahu]",[http://t.co/bRj76JbHW9],Sherry,Sat Jul 11 10:47:57 +0000 2015
131,RT @BarackObama: Say you'll keep up the fightshow your support and chip in before midnight: http://t.co/ETrnnXfVwF http://t.co/YChVFtnzib,  say youll keep up the fightshow your support and chip in before midnight  ,[],[@BarackObama],"[http://t.co/ETrnnXfVwF, http://t.co/YChVFtnzib]",Erie,Sat Jul 11 10:47:55 +0000 2015
132,"@BarackObama 
Follow me"," 
follow me",[],[@BarackObama],[],Indianapolis,Sat Jul 11 10:47:54 +0000 2015
133,RT @Dr_MustafaCeric: Otherwise we have the right to get means of self-defence. Genocide @Never Again. @PutinRF_Eng @BarackObama @David_Came,  otherwise we have the right to get means of selfdefence genocide  again   ,[],"[@Dr_MustafaCeric, @Never, @PutinRF_Eng, @BarackObama, @David_Came]",[],Butler,Sat Jul 11 10:47:53 +0000 2015
134,"RT @Dr_MustafaCeric: Ergo, Bosnia needs full membership of NATO as soon as possible... @BarackObama @PutinRF_Eng @David_Cameron @MirnesKovac",  ergo bosnia needs full membership of nato as soon as possible    ,[],"[@Dr_MustafaCeric, @BarackObama, @PutinRF_Eng, @David_Cameron, @MirnesKovac]",[],Yockey,Sat Jul 11 10:47:51 +0000 2015
135,RT @Dr_MustafaCeric: Now whole Bosnia is under threat of Genocide by Russia &amp; Serbia  @PutinRF_Eng @BarackObama @David_Cameron @MirnesKovac,  now whole bosnia is under threat of genocide by russia and serbia     ,[],"[@Dr_MustafaCeric, @PutinRF_Eng, @BarackObama, @David_Cameron, @MirnesKovac]",[],Van Nuys,Sat Jul 11 10:47:47 +0000 2015
136,@BarackObama Sheikhupura ( Punjab Province Pakistan its very humble request Our Organization Working Community Development in Pakistan., sheikhupura  punjab province pakistan its very humble request our organization working community development in pakistan,[],[@BarackObama],[],Springfield,Sat Jul 11 10:47:47 +0000 2015
137,RT @DONNAXFACTOR: I wouldnt accepts Islamic states is alquada those people are suffering under @BarackObama @David_Cameron weopeans of mass,  i wouldnt accepts islamic states is alquada those people are suffering under   weopeans of mass,[],"[@DONNAXFACTOR, @BarackObama, @David_Cameron]",[],Urb Diplo,Sat Jul 11 10:47:46 +0000 2015
138,"RT @A_Jafarzadeh: NCRI-US Panel on #Iran Nuclear Negotiations, July 8 https://t.co/3nGmKluKSZ @YouTube #IranTalksVienna @senatefloor @House",  ncrius panel on iran nuclear negotiations july 8   irantalksvienna  ,"[#Iran, #IranTalksVienna]","[@A_Jafarzadeh, @YouTube, @senatefloor, @House]",[https://t.co/3nGmKluKSZ],Table Grove,Sat Jul 11 10:47:45 +0000 2015
139,Tel d baboons 2 let the biafrans go @NwakanmaJohnC1 @henryalloy @BarackObama @camanpour @David_Cameron @nnamdikanu1,tel d baboons 2 let the biafrans go      ,[],"[@NwakanmaJohnC1, @henryalloy, @BarackObama, @camanpour, @David_Cameron, @nnamdikanu1]",[],Stowe,Sat Jul 11 10:47:43 +0000 2015
140,I wouldnt accepts Islamic states is alquada those people are suffering under @BarackObama @David_Cameron weopeans of mass destructions .,i wouldnt accepts islamic states is alquada those people are suffering under   weopeans of mass destructions ,[],"[@BarackObama, @David_Cameron]",[],Peytona,Sat Jul 11 10:47:40 +0000 2015
141,Tell the baboons in the zoo to let the biafrans go.  #biafrashallbefree @NwakanmaJohnC1 @henryalloy @BarackObama @camanpour @David_Cameron,tell the baboons in the zoo to let the biafrans go  biafrashallbefree     ,[#biafrashallbefree],"[@NwakanmaJohnC1, @henryalloy, @BarackObama, @camanpour, @David_Cameron]",[],Roseland,Sat Jul 11 10:47:39 +0000 2015
142,"From my friends, the person who has been the longest time on Twitter is @BarackObama, I'm in the position 209 of 1822 http://t.co/mz2qIAsyJo",from my friends the person who has been the longest time on twitter is  im in the position 209 of 1822 ,[],[@BarackObama],[http://t.co/mz2qIAsyJo],Turkey,Sat Jul 11 10:46:54 +0000 2015
143,@BarackObama We Need help for Effects of Industrial Effluent and Contamination of Ground Water in District . http://t.co/xwzaQSWCzl, we need help for effects of industrial effluent and contamination of ground water in district  ,[],[@BarackObama],[http://t.co/xwzaQSWCzl],,Sat Jul 11 10:46:45 +0000 2015
144,@David_Cameron .@BarackObama you have made people unconscious by deadly poisons .when they goes to hospitals then they have no clues w happe,  you have made people unconscious by deadly poisons when they goes to hospitals then they have no clues w happe,[],"[@David_Cameron, @BarackObama]",[],,Sat Jul 11 10:46:26 +0000 2015
145,"@BarackObama @CarolineKennedy U need 2 call on the @UN &amp; put your feet down where Japan is concerned, RE The yearly Dolphin Drives in #Taiji",  u need 2 call on the  and put your feet down where japan is concerned re the yearly dolphin drives in taiji,[#Taiji],"[@BarackObama, @CarolineKennedy, @UN]",[],india,Sat Jul 11 10:46:22 +0000 2015
146,@BarackObama The Japan country puts its shoulder to the wheel and wrestles., the japan country puts its shoulder to the wheel and wrestles,[],[@BarackObama],[],,Sat Jul 11 10:46:11 +0000 2015
147,"RT @CELEBUZZ: .@BarackObama, @kerrywashington respond to Confederate flag being taken down: http://t.co/NZvoeaKZM7 http://t.co/tupD5RKJSD",    respond to confederate flag being taken down  ,[],"[@CELEBUZZ, @BarackObama, @kerrywashington]","[http://t.co/NZvoeaKZM7, http://t.co/tupD5RKJSD]",United States,Sat Jul 11 10:44:54 +0000 2015
148,Tell @BarackObama: Save the sage grouse and the American West. Add your voice now: http://t.co/qCP2faRe4L,tell  save the sage grouse and the american west add your voice now ,[],[@BarackObama],[http://t.co/qCP2faRe4L],Bayraklı/İzmir/Turkey,Sat Jul 11 10:44:30 +0000 2015
149,!! @BarackObama Nice friends you have http://t.co/4L9QcRXdMH,  nice friends you have ,[],[@BarackObama],[http://t.co/4L9QcRXdMH],"(LSC) Laurens,South Carolina",Sat Jul 11 10:42:10 +0000 2015
150,"@BarackObama u has vales that's destroying citizens hearts ,u inserts micro chips in to ladies vaginas during consultations for your spying", u has vales thats destroying citizens hearts u inserts micro chips in to ladies vaginas during consultations for your spying,[],[@BarackObama],[],,Sat Jul 11 10:42:08 +0000 2015
151,"@BarackObama Pushing forward player reinforcement and physical training to take many medals, and making the nation health,", pushing forward player reinforcement and physical training to take many medals and making the nation health,[],[@BarackObama],[],"Houston, TX",Sat Jul 11 10:42:00 +0000 2015
152,An true AMERICAN hero punished by @BarackObama  https://t.co/CScxoOsqKl,an true american hero punished by   ,[],[@BarackObama],[https://t.co/CScxoOsqKl],,Sat Jul 11 10:41:02 +0000 2015
153,@BarackObama please follow this account!tkmc3, please follow this accounttkmc3,[],[@BarackObama],[],newberry,Sat Jul 11 10:40:52 +0000 2015
154,RT @HeelyRiddler: It was very nice meeting you mr. president! @BarackObama http://t.co/v3EVURwYcs,  it was very nice meeting you mr president  ,[],"[@HeelyRiddler, @BarackObama]",[http://t.co/v3EVURwYcs],FL - NY - TA -  London,Sat Jul 11 10:40:47 +0000 2015
155,RT @ArianaGrande: thanks for my birthday surprise @BarackObama (jk but wow you're fkkn cool) #lovewins,  thanks for my birthday surprise  jk but wow youre fkkn cool lovewins,[#lovewins],"[@ArianaGrande, @BarackObama]",[],USA,Sat Jul 11 10:40:42 +0000 2015
156,"RT @BarackObama: ""We are all created equal."" President Obama #LoveWins",  we are all created equal president obama lovewins,[#LoveWins],[@BarackObama],[],,Sat Jul 11 10:40:14 +0000 2015
157,"RT @BarackObama: ""When all Americans are treated as equal, we are all more free."" President Obama #LoveWins",  when all americans are treated as equal we are all more free president obama lovewins,[#LoveWins],[@BarackObama],[],Buellton,Sat Jul 11 10:39:04 +0000 2015
158,"RT @tyleroakley: excuse me @BarackObama may I please borrow air force one??? i have a slumberparty to get to, surely you understand",  excuse me  may i please borrow air force one i have a slumberparty to get to surely you understand,[],"[@tyleroakley, @BarackObama]",[],Forest Hills,Sat Jul 11 10:38:47 +0000 2015
159,"@BarackObama By the 2020 Tokyo Olympic Games, the Paralympics,", by the 2020 tokyo olympic games the paralympics,[],[@BarackObama],[],Urb Maleza Gdns,Sat Jul 11 10:38:47 +0000 2015
160,@jeremycorbyn lives of people are in danger under @David_Cameron and @BarackObama this cannot go on., lives of people are in danger under  and  this cannot go on,[],"[@jeremycorbyn, @David_Cameron, @BarackObama]",[],Thorn,Sat Jul 11 10:38:47 +0000 2015
161,RT @BarackObama: Watch the President's full statement on the Supreme Court's ruling on marriage equality. #LoveWins http://t.co/nRBI49pQT5,  watch the presidents full statement on the supreme courts ruling on marriage equality lovewins ,[#LoveWins],[@BarackObama],[http://t.co/nRBI49pQT5],Murrysville,Sat Jul 11 10:38:46 +0000 2015
162,"RT @BarackObama: ""12.8 million new jobs, and that's goodbut we've got more work to do."" President Obama",  128 million new jobs and thats goodbut weve got more work to do president obama,[],[@BarackObama],[],Glendale,Sat Jul 11 10:38:43 +0000 2015
163,"@BarackObama Honorable His Excellency President Barack Obama, Ist Most humble request please We need your help for my Organization.", honorable his excellency president barack obama ist most humble request please we need your help for my organization,[],[@BarackObama],[],Timbo,Sat Jul 11 10:38:38 +0000 2015
164,@BarackObama Turkey is discussing possibility that establishing safe zone plan in Syria... http://t.co/fGbLlAV6KR , turkey is discussing possibility that establishing safe zone plan in syria  ,[],[@BarackObama],[http://t.co/fGbLlAV6KR],Palm Bch Gdns,Sat Jul 11 10:38:36 +0000 2015
165,"@BarackObama I can do it in Ministry of Education, Culture, Sports, Science and Technology.", i can do it in ministry of education culture sports science and technology,[],[@BarackObama],[],Covell,Sat Jul 11 10:38:35 +0000 2015
166,"@BarackObama 

What is #British Govt doing with one of the most corrupt men on earth? Cameron stop supporting corruption in #Nigeria"," 

what is british govt doing with one of the most corrupt men on earth cameron stop supporting corruption in nigeria","[#British, #Nigeria]",[@BarackObama],[],Henryton,Sat Jul 11 10:38:32 +0000 2015
167,@CapitalOfficial @BBCNewsUS @BarackObama I'm Thinking Yellow Stone Erupting+Massive Earth Upheavals.Get '@On .I.T. My Sexy ~#EarthGoddess :(,   im thinking yellow stone eruptingmassive earth upheavalsget  it my sexy earthgoddess ,[#EarthGoddess],"[@CapitalOfficial, @BBCNewsUS, @BarackObama, @On]",[],,Sat Jul 11 10:38:31 +0000 2015
168,@BarackObama let me hold $20 Fam, let me hold 20 fam,[],[@BarackObama],[],North Houston,Sat Jul 11 10:38:30 +0000 2015
169,"@BarackObama The government office sports agency of the country specialized in sports in October, 2015,", the government office sports agency of the country specialized in sports in october 2015,[],[@BarackObama],[],Fort Pierce,Sat Jul 11 10:38:27 +0000 2015
170,#WakeUpAmerica @BarackObama doesn't like U or your country &amp; his wife only felt proud when she was made Queen! #SJWs http://t.co/SjIKI81RO1,wakeupamerica  doesnt like u or your country and his wife only felt proud when she was made queen sjws ,"[#WakeUpAmerica, #SJWs]",[@BarackObama],[http://t.co/SjIKI81RO1],Caseyville,Sat Jul 11 10:38:27 +0000 2015
171,@BarackObama @VP Sorry allow !,  sorry allow ,[],"[@BarackObama, @VP]",[],Reed,Sat Jul 11 10:38:27 +0000 2015
172,@BarackObama The agenda of today to player reinforcement sports agency setting of the Japanese government Olympic Games., the agenda of today to player reinforcement sports agency setting of the japanese government olympic games,[],[@BarackObama],[],Newfane,Sat Jul 11 10:38:25 +0000 2015
173,"@BarackObama @VP If I remember, you said  once you  are a Christian, if you are you know GOD do not flow same sex marriage",  if i remember you said  once you  are a christian if you are you know god do not flow same sex marriage,[],"[@BarackObama, @VP]",[],Sandyston,Sat Jul 11 10:38:25 +0000 2015
174,If @BarackObama wants to cement his legacy then completing the work of  1776 &amp; ridding Britain of #ToryScum would be perfect.,if  wants to cement his legacy then completing the work of  1776 and ridding britain of toryscum would be perfect,[#ToryScum],[@BarackObama],[],San Diego,Sat Jul 11 10:38:22 +0000 2015
175,@BarackObama  those are three evil men supporting zoo call #nigeria but thank chukwuabiama for #Ipob which is #Biafra http://t.co/40rPiMcg1q,  those are three evil men supporting zoo call nigeria but thank chukwuabiama for ipob which is biafra ,"[#nigeria, #Ipob, #Biafra]",[@BarackObama],[http://t.co/40rPiMcg1q],Madison,Sat Jul 11 10:38:14 +0000 2015
176,RT @boghche: @Maryam_Rajavi Its not fair to get to know about The Ruling Regime in #Iran but being silent!! #IranDeal @BarackObama @Baird @,   its not fair to get to know about the ruling regime in iran but being silent irandeal   ,"[#Iran, #IranDeal]","[@boghche, @Maryam_Rajavi, @BarackObama, @Baird]",[],Brampton,Sat Jul 11 10:38:08 +0000 2015
177,@BarackObama KIll this one http://t.co/HXySfgaxdQ, kill this one ,[],[@BarackObama],[http://t.co/HXySfgaxdQ],,Sat Jul 11 10:38:07 +0000 2015
178,"@BarackObama Good morning, United States President Obama who is great great United States world peace Nobel Prize winner.", good morning united states president obama who is great great united states world peace nobel prize winner,[],[@BarackObama],[],"Maryville, TN",Sat Jul 11 10:34:46 +0000 2015
179,I wish I could meet Obama when he comes here next week. Just want to shake his hand @BarackObama @POTUS,i wish i could meet obama when he comes here next week just want to shake his hand  ,[],"[@BarackObama, @POTUS]",[],"Florida, USA",Sat Jul 11 10:33:32 +0000 2015
